,Binary Completion,passResult,down,yardsToGo,yardlineNumber,quarter,gameClock,num RB,num TE,num WR,num DL,num LB,num DB,defendersInBox,2-Man,Bracket,Cover-0,Cover-1,Cover-2,Cover-3,Cover-6,Goal Line,Prevent,Quarters,Red Zone,possessionTeam,homeTeamAbbr,visitorTeamAbbr,preSnapVisitorScore,preSnapHomeScore,off_score,def_score,score_diff,gameClock_seconds,secondsLeftInHalf
12,1,C,2,2,44,1,04:15,1,2,2,4,3,4,7.0,0,0,0,1,0,0,0,0,0,0,0,DAL,TB,DAL,0,7,0,7,-7,255,1155
13,1,C,2,3,37,1,02:45,1,1,3,3,3,5,6.0,0,0,0,0,1,0,0,0,0,0,0,DAL,TB,DAL,0,7,0,7,-7,165,1065
14,1,C,1,10,29,1,02:22,1,1,3,3,3,5,6.0,0,0,0,0,0,0,0,0,0,1,0,DAL,TB,DAL,0,7,0,7,-7,142,1042
15,1,C,2,3,22,1,01:43,1,2,2,4,3,4,6.0,0,0,0,1,0,0,0,0,0,0,0,DAL,TB,DAL,0,7,0,7,-7,103,1003
16,0,I,2,5,40,1,00:11,1,2,2,4,2,5,7.0,0,0,0,1,0,0,0,0,0,0,0,TB,TB,DAL,7,7,7,7,0,11,911
17,0,I,3,5,40,1,00:05,1,1,3,4,2,5,5.0,0,0,0,0,1,0,0,0,0,0,0,TB,TB,DAL,7,7,7,7,0,5,905
18,1,C,2,8,7,2,14:21,1,0,4,3,3,5,5.0,0,0,0,0,0,0,0,0,0,1,0,DAL,TB,DAL,7,7,7,7,0,861,861
19,1,C,2,8,48,2,12:07,1,2,2,4,2,5,6.0,0,0,0,0,1,0,0,0,0,0,0,TB,TB,DAL,7,7,7,7,0,727,727
20,1,C,1,10,24,2,11:13,1,2,2,4,2,5,7.0,0,0,0,0,0,0,0,0,0,1,0,TB,TB,DAL,7,7,7,7,0,673,673
21,1,C,2,2,2,2,09:53,1,1,3,4,2,5,7.0,0,0,0,1,0,0,0,0,0,0,0,TB,TB,DAL,7,7,7,7,0,593,593
22,1,C,1,10,25,2,09:48,2,1,2,3,3,5,7.0,0,0,0,0,0,1,0,0,0,0,0,DAL,TB,DAL,7,14,7,14,-7,588,588
23,1,C,1,10,39,2,09:04,1,2,2,4,3,4,7.0,0,0,0,0,0,1,0,0,0,0,0,DAL,TB,DAL,7,14,7,14,-7,544,544
24,1,C,2,7,17,2,07:27,1,1,3,3,3,5,7.0,0,0,0,0,0,1,0,0,0,0,0,DAL,TB,DAL,7,14,7,14,-7,447,447
25,0,I,3,3,13,2,06:46,1,1,3,3,3,5,6.0,0,0,0,1,0,0,0,0,0,0,0,DAL,TB,DAL,7,14,7,14,-7,406,406
26,0,I,2,8,25,2,05:43,1,1,3,2,4,5,7.0,0,0,0,0,0,1,0,0,0,0,0,DAL,TB,DAL,7,14,7,14,-7,343,343
27,1,C,3,8,25,2,05:37,1,1,3,2,4,5,6.0,0,0,1,0,0,0,0,0,0,0,0,DAL,TB,DAL,7,14,7,14,-7,337,337
28,1,C,2,3,5,2,04:25,1,1,3,2,4,5,7.0,0,0,1,0,0,0,0,0,0,0,0,DAL,TB,DAL,7,14,7,14,-7,265,265
29,0,I,2,6,17,2,03:30,1,1,3,3,3,5,6.0,0,0,0,0,0,1,0,0,0,0,0,DAL,TB,DAL,13,14,13,14,-1,210,210
30,0,I,3,6,17,2,03:26,1,1,3,3,3,5,5.0,0,0,0,0,0,0,0,0,0,1,0,DAL,TB,DAL,13,14,13,14,-1,206,206
31,1,C,1,10,43,2,03:08,1,1,3,4,2,5,4.0,0,0,0,0,1,0,0,0,0,0,0,TB,TB,DAL,16,14,14,14,0,188,188
32,1,C,1,10,47,2,02:45,1,1,3,4,2,5,6.0,1,0,0,0,0,0,0,0,0,0,0,TB,TB,DAL,16,14,14,14,0,165,165
33,1,C,1,10,25,2,02:38,1,1,3,3,3,5,6.0,0,0,0,0,0,0,0,0,0,1,0,DAL,TB,DAL,16,21,16,21,-5,158,158
34,1,C,1,10,38,2,01:54,1,1,3,3,3,5,6.0,0,0,0,0,0,0,0,0,0,1,0,DAL,TB,DAL,16,21,16,21,-5,114,114
35,0,I,2,3,31,2,01:50,1,1,3,3,3,5,6.0,0,0,0,0,0,0,0,0,0,1,0,DAL,TB,DAL,16,21,16,21,-5,110,110
36,1,C,3,3,31,2,01:43,1,1,3,3,3,5,7.0,0,0,0,0,0,0,0,0,0,1,0,DAL,TB,DAL,16,21,16,21,-5,103,103
37,0,I,1,10,21,2,01:16,1,1,3,2,4,5,6.0,0,0,0,0,0,0,0,0,0,1,0,DAL,TB,DAL,16,21,16,21,-5,76,76
40,0,I,1,10,50,2,00:15,1,1,3,4,2,5,6.0,1,0,0,0,0,0,0,0,0,0,0,TB,TB,DAL,16,21,21,21,0,15,15
41,0,I,2,10,50,2,00:09,1,0,4,2,2,7,4.0,0,0,0,0,0,0,0,0,1,0,0,TB,TB,DAL,16,21,21,21,0,9,9
42,0,IN,3,10,50,2,00:06,1,1,3,2,2,7,4.0,0,0,0,0,0,0,0,0,1,0,0,TB,TB,DAL,16,21,21,21,0,6,6
43,1,C,2,10,25,3,14:57,1,1,3,3,3,5,6.0,0,0,0,0,1,0,0,0,0,0,0,DAL,TB,DAL,16,21,16,21,-5,897,1797
44,1,C,3,5,30,3,14:27,1,1,3,3,4,4,7.0,0,0,0,0,0,1,0,0,0,0,0,DAL,TB,DAL,16,21,16,21,-5,867,1767
45,1,C,3,4,48,3,12:44,1,1,3,3,3,5,6.0,0,1,0,0,0,0,0,0,0,0,0,DAL,TB,DAL,16,21,16,21,-5,764,1664
46,0,I,1,10,34,3,12:14,1,1,3,3,3,5,7.0,0,0,0,0,1,0,0,0,0,0,0,DAL,TB,DAL,16,21,16,21,-5,734,1634
47,1,C,2,4,12,3,11:26,1,1,3,3,3,5,7.0,0,0,0,0,0,1,0,0,0,0,0,DAL,TB,DAL,16,21,16,21,-5,686,1586
48,1,C,2,5,5,3,10:32,1,2,2,4,3,4,8.0,0,0,0,0,0,0,0,0,0,0,1,DAL,TB,DAL,16,21,16,21,-5,632,1532
49,0,I,1,10,33,3,09:08,1,1,3,4,2,5,4.0,0,0,0,1,0,0,0,0,0,0,0,TB,TB,DAL,19,21,21,21,0,548,1448
50,0,I,2,10,33,3,09:04,1,1,3,4,2,5,6.0,0,0,0,0,0,1,0,0,0,0,0,TB,TB,DAL,19,21,21,21,0,544,1444
51,1,C,1,10,35,3,08:31,1,2,2,4,2,5,5.0,0,0,0,1,0,0,0,0,0,0,0,TB,TB,DAL,19,21,21,21,0,511,1411
52,1,C,2,8,13,3,07:12,1,2,2,4,2,5,7.0,0,0,0,0,0,0,0,0,0,1,0,TB,TB,DAL,19,21,21,21,0,432,1332
53,1,C,3,6,11,3,06:28,1,1,3,4,2,5,6.0,0,0,1,0,0,0,0,0,0,0,0,TB,TB,DAL,19,21,21,21,0,388,1288
54,1,C,1,10,38,3,05:59,1,2,2,3,4,4,6.0,0,0,0,0,0,0,1,0,0,0,0,DAL,TB,DAL,19,28,19,28,-9,359,1259
55,1,C,1,10,48,3,04:49,1,2,2,4,3,4,6.0,0,0,0,0,0,1,0,0,0,0,0,DAL,TB,DAL,19,28,19,28,-9,289,1189
56,1,C,2,10,42,3,03:26,1,1,3,2,4,5,6.0,0,0,0,0,0,0,1,0,0,0,0,DAL,TB,DAL,19,28,19,28,-9,206,1106
57,1,C,3,1,33,3,02:43,1,2,2,4,3,4,8.0,0,0,0,1,0,0,0,0,0,0,0,DAL,TB,DAL,19,28,19,28,-9,163,1063
59,1,C,3,4,21,3,00:39,1,1,3,3,3,5,7.0,0,0,0,1,0,0,0,0,0,0,0,DAL,TB,DAL,19,28,19,28,-9,39,939
60,1,C,1,10,25,3,00:33,1,1,3,4,2,5,6.0,0,0,0,0,0,1,0,0,0,0,0,TB,TB,DAL,26,28,28,28,0,33,933
61,1,C,3,2,48,4,13:38,1,1,3,4,2,5,7.0,0,0,0,0,0,0,0,0,0,1,0,TB,TB,DAL,26,28,28,28,0,818,818
62,0,I,2,10,47,4,12:11,1,1,3,4,2,5,5.0,0,0,0,0,1,0,0,0,0,0,0,TB,TB,DAL,26,28,28,28,0,731,731
63,0,I,3,10,47,4,12:06,1,1,3,4,2,5,7.0,0,0,0,0,0,1,0,0,0,0,0,TB,TB,DAL,26,28,28,28,0,726,726
64,0,I,2,8,8,4,11:15,1,2,2,4,3,4,6.0,0,0,0,1,0,0,0,0,0,0,0,DAL,TB,DAL,26,28,26,28,-2,675,675
65,0,I,3,8,8,4,11:10,2,0,3,3,3,5,6.0,0,0,0,0,0,0,0,0,0,1,0,DAL,TB,DAL,26,28,26,28,-2,670,670
66,1,C,1,10,37,4,10:54,1,1,3,4,2,5,6.0,0,0,0,0,1,0,0,0,0,0,0,TB,TB,DAL,26,28,28,28,0,654,654
67,1,C,2,4,41,4,08:56,1,2,2,4,2,5,7.0,0,0,0,1,0,0,0,0,0,0,0,TB,TB,DAL,26,28,28,28,0,536,536
68,1,C,1,15,39,4,08:10,1,0,4,4,2,5,5.0,0,0,0,0,1,0,0,0,0,0,0,TB,TB,DAL,26,28,28,28,0,490,490
69,1,C,2,6,30,4,07:23,1,2,2,4,2,5,6.0,0,0,0,0,1,0,0,0,0,0,0,TB,TB,DAL,26,28,28,28,0,443,443
70,1,C,1,10,23,4,06:55,1,1,3,4,2,5,6.0,0,0,0,1,0,0,0,0,0,0,0,TB,TB,DAL,26,28,28,28,0,415,415
71,1,C,2,9,11,4,04:14,1,1,3,3,3,5,7.0,0,0,0,0,1,0,0,0,0,0,0,DAL,TB,DAL,26,28,26,28,-2,254,254
72,1,C,3,1,19,4,03:36,1,1,3,3,3,5,6.0,0,0,0,0,0,1,0,0,0,0,0,DAL,TB,DAL,26,28,26,28,-2,216,216
73,0,I,1,10,36,4,02:27,1,1,3,3,3,5,7.0,0,0,0,0,1,0,0,0,0,0,0,DAL,TB,DAL,26,28,26,28,-2,147,147
74,1,C,2,20,26,4,02:17,1,1,3,3,3,5,6.0,0,0,0,0,0,0,0,0,0,1,0,DAL,TB,DAL,26,28,26,28,-2,137,137
75,1,C,3,11,35,4,02:00,1,1,3,3,3,5,5.0,0,1,0,0,0,0,0,0,0,0,0,DAL,TB,DAL,26,28,26,28,-2,120,120
76,1,C,3,16,40,4,01:37,1,1,3,3,3,5,6.0,0,0,0,0,0,0,0,0,0,1,0,DAL,TB,DAL,26,28,26,28,-2,97,97
77,0,I,2,2,33,4,01:18,1,1,3,4,2,5,6.0,0,0,0,1,0,0,0,0,0,0,0,TB,TB,DAL,29,28,28,28,0,78,78
78,1,C,3,2,33,4,01:13,1,1,3,4,2,5,5.0,0,0,0,0,0,1,0,0,0,0,0,TB,TB,DAL,29,28,28,28,0,73,73
79,1,C,1,15,32,4,00:55,1,1,3,4,2,5,5.0,0,0,0,0,1,0,0,0,0,0,0,TB,TB,DAL,29,28,28,28,0,55,55
80,1,C,2,9,38,4,00:49,1,1,3,4,2,5,7.0,0,0,0,0,0,1,0,0,0,0,0,TB,TB,DAL,29,28,28,28,0,49,49
81,0,I,1,10,42,4,00:30,1,1,3,4,2,5,6.0,0,0,0,1,0,0,0,0,0,0,0,TB,TB,DAL,29,28,28,28,0,30,30
82,1,C,2,10,42,4,00:24,1,1,3,4,2,5,5.0,0,0,0,1,0,0,0,0,0,0,0,TB,TB,DAL,29,28,28,28,0,24,24
83,0,I,1,10,18,4,00:18,1,0,4,4,2,5,6.0,1,0,0,0,0,0,0,0,0,0,0,TB,TB,DAL,29,28,28,28,0,18,18
84,0,I,2,10,18,4,00:14,1,1,3,4,2,5,5.0,1,0,0,0,0,0,0,0,0,0,0,TB,TB,DAL,29,28,28,28,0,14,14
85,0,I,3,10,18,4,00:10,1,1,3,4,2,5,7.0,0,0,1,0,0,0,0,0,0,0,0,TB,TB,DAL,29,28,28,28,0,10,10
86,1,C,1,10,25,1,15:00,2,2,1,4,3,4,7.0,0,0,0,0,1,0,0,0,0,0,0,ATL,ATL,PHI,0,0,0,0,0,900,1800
87,1,C,2,6,43,1,13:45,2,2,1,4,2,5,6.0,0,0,0,0,1,0,0,0,0,0,0,ATL,ATL,PHI,0,0,0,0,0,825,1725
88,1,C,3,5,42,1,13:08,2,2,1,4,2,5,6.0,0,0,0,0,0,1,0,0,0,0,0,ATL,ATL,PHI,0,0,0,0,0,788,1688
89,0,I,1,10,31,1,12:50,2,2,1,4,2,5,7.0,0,0,0,0,0,1,0,0,0,0,0,ATL,ATL,PHI,0,0,0,0,0,770,1670
90,1,C,3,7,28,1,12:08,1,1,3,4,2,5,6.0,0,0,0,0,0,1,0,0,0,0,0,ATL,ATL,PHI,0,0,0,0,0,728,1628
91,1,C,2,7,13,1,11:03,1,1,3,4,2,5,6.0,0,0,0,0,0,1,0,0,0,0,0,ATL,ATL,PHI,0,0,0,0,0,663,1563
92,0,I,2,3,3,1,10:11,1,1,3,4,3,4,7.0,0,0,0,0,0,0,0,0,0,0,1,ATL,ATL,PHI,0,0,0,0,0,611,1511
93,0,I,3,3,3,1,10:07,1,1,3,4,3,4,6.0,0,0,0,0,0,0,0,0,0,0,1,ATL,ATL,PHI,0,0,0,0,0,607,1507
94,1,C,3,4,18,1,06:23,1,1,3,1,5,5,5.0,0,0,0,1,0,0,0,0,0,0,0,PHI,ATL,PHI,0,3,0,3,-3,383,1283
95,1,C,1,10,32,1,05:51,2,1,2,4,3,4,7.0,0,0,0,0,0,0,1,0,0,0,0,ATL,ATL,PHI,7,3,3,3,0,351,1251
96,1,C,1,10,46,1,04:38,1,2,2,4,3,4,6.0,0,0,0,0,1,0,0,0,0,0,0,ATL,ATL,PHI,7,3,3,3,0,278,1178
97,0,I,2,9,32,1,02:56,1,2,2,4,2,5,6.0,0,0,0,0,0,0,0,0,0,1,0,ATL,ATL,PHI,7,3,3,3,0,176,1076
99,1,C,4,1,24,1,02:30,1,3,1,4,3,4,8.0,0,0,0,0,0,1,0,0,0,0,0,ATL,ATL,PHI,7,3,3,3,0,150,1050
100,0,I,1,2,2,1,00:15,2,3,0,4,3,4,8.0,0,0,0,0,0,0,0,0,0,0,1,ATL,ATL,PHI,7,3,3,3,0,15,915
101,0,I,1,12,12,1,00:09,1,1,3,4,2,5,6.0,0,0,0,0,0,1,0,0,0,0,0,ATL,ATL,PHI,7,3,3,3,0,9,909
102,0,I,3,9,9,2,15:00,1,1,3,4,2,5,5.0,0,0,0,0,0,0,0,0,0,0,1,ATL,ATL,PHI,7,3,3,3,0,900,900
103,1,C,1,10,17,2,14:43,1,2,2,2,4,5,7.0,0,0,0,0,0,1,0,0,0,0,0,PHI,ATL,PHI,7,6,7,6,1,883,883
104,1,C,1,10,30,2,14:11,1,2,2,2,4,5,6.0,0,0,0,0,0,1,0,0,0,0,0,PHI,ATL,PHI,7,6,7,6,1,851,851
105,0,I,1,10,42,2,13:45,1,2,2,2,4,5,6.0,0,0,0,0,1,0,0,0,0,0,0,PHI,ATL,PHI,7,6,7,6,1,825,825
106,0,I,3,4,36,2,12:59,1,1,3,1,5,5,6.0,0,0,0,1,0,0,0,0,0,0,0,PHI,ATL,PHI,7,6,7,6,1,779,779
107,0,I,4,4,36,2,12:55,1,3,1,3,4,4,6.0,0,0,0,0,1,0,0,0,0,0,0,PHI,ATL,PHI,7,6,7,6,1,775,775
108,1,C,1,20,26,2,12:25,2,1,2,4,2,5,7.0,0,0,0,0,0,1,0,0,0,0,0,ATL,ATL,PHI,7,6,6,6,0,745,745
109,1,C,3,21,37,2,09:44,1,2,2,4,2,5,4.0,0,0,0,0,1,0,0,0,0,0,0,ATL,ATL,PHI,7,6,6,6,0,584,584
110,1,C,2,4,25,2,08:20,1,1,3,2,4,5,6.0,0,0,0,0,1,0,0,0,0,0,0,PHI,ATL,PHI,7,6,7,6,1,500,500
111,1,C,1,10,33,2,07:39,1,3,1,3,4,4,4.0,0,0,0,0,1,0,0,0,0,0,0,PHI,ATL,PHI,7,6,7,6,1,459,459
112,1,C,2,6,37,2,07:17,1,3,1,3,4,4,4.0,0,0,0,0,1,0,0,0,0,0,0,PHI,ATL,PHI,7,6,7,6,1,437,437
113,1,C,1,10,44,2,06:44,1,3,1,3,4,4,4.0,0,0,0,0,0,1,0,0,0,0,0,PHI,ATL,PHI,7,6,7,6,1,404,404
114,1,C,1,20,42,2,05:35,2,1,2,2,4,5,6.0,0,0,0,0,1,0,0,0,0,0,0,PHI,ATL,PHI,7,6,7,6,1,335,335
115,0,I,2,28,50,2,04:38,1,1,3,1,5,5,6.0,0,0,0,0,0,1,0,0,0,0,0,PHI,ATL,PHI,7,6,7,6,1,278,278
116,1,C,1,10,38,2,01:44,1,1,3,2,4,5,6.0,0,0,0,0,1,0,0,0,0,0,0,PHI,ATL,PHI,7,6,7,6,1,104,104
117,0,I,2,1,47,2,01:37,1,1,3,2,4,5,7.0,0,0,0,0,1,0,0,0,0,0,0,PHI,ATL,PHI,7,6,7,6,1,97,97
119,1,C,2,11,49,2,01:08,1,1,3,1,5,5,6.0,0,0,0,0,0,1,0,0,0,0,0,PHI,ATL,PHI,7,6,7,6,1,68,68
122,1,C,1,15,26,2,00:39,1,1,3,1,5,5,6.0,0,0,0,0,0,1,0,0,0,0,0,PHI,ATL,PHI,7,6,7,6,1,39,39
123,1,C,1,9,9,2,00:09,1,1,3,2,4,5,6.0,0,1,0,0,0,0,0,0,0,0,0,PHI,ATL,PHI,7,6,7,6,1,9,9
125,1,C,1,10,14,3,12:37,2,1,2,4,3,4,6.0,0,0,0,0,0,0,1,0,0,0,0,ATL,ATL,PHI,15,6,6,6,0,757,1657
126,0,I,3,6,18,3,11:23,1,2,2,4,2,5,6.0,0,0,0,0,0,0,1,0,0,0,0,ATL,ATL,PHI,15,6,6,6,0,683,1583
127,1,C,1,10,31,3,11:04,1,1,3,2,4,5,6.0,0,0,0,0,1,0,0,0,0,0,0,PHI,ATL,PHI,15,6,15,6,9,664,1564
128,1,C,2,7,25,3,07:41,1,1,3,3,4,4,7.0,0,0,0,0,1,0,0,0,0,0,0,PHI,ATL,PHI,15,6,15,6,9,461,1361
129,0,I,3,2,20,3,07:07,1,1,3,3,4,4,6.0,0,0,1,0,0,0,0,0,0,0,0,PHI,ATL,PHI,15,6,15,6,9,427,1327
130,1,C,1,20,9,3,06:37,1,2,2,4,2,5,7.0,0,0,0,0,0,1,0,0,0,0,0,ATL,ATL,PHI,15,6,6,6,0,397,1297
131,1,C,3,15,14,3,05:12,0,2,3,4,2,5,4.0,0,0,0,0,0,0,1,0,0,0,0,ATL,ATL,PHI,15,6,6,6,0,312,1212
132,1,C,1,10,28,3,00:43,2,2,1,4,2,5,5.0,0,0,0,0,0,0,1,0,0,0,0,ATL,ATL,PHI,22,6,6,6,0,43,943
133,0,I,2,11,39,4,15:00,1,2,2,4,2,5,6.0,0,0,0,0,0,0,0,0,0,1,0,ATL,ATL,PHI,22,6,6,6,0,900,900
134,0,I,3,11,39,4,14:57,1,1,3,4,2,5,6.0,0,0,0,0,0,1,0,0,0,0,0,ATL,ATL,PHI,22,6,6,6,0,897,897
135,1,C,3,9,19,4,13:18,1,2,2,1,5,5,6.0,0,0,0,0,1,0,0,0,0,0,0,PHI,ATL,PHI,22,6,22,6,16,798,798
136,1,C,2,10,38,4,12:47,1,2,2,3,4,4,7.0,0,0,0,0,0,1,0,0,0,0,0,PHI,ATL,PHI,22,6,22,6,16,767,767
137,1,C,1,10,8,4,11:31,2,1,2,4,2,5,6.0,0,0,0,0,1,0,0,0,0,0,0,ATL,ATL,PHI,22,6,6,6,0,691,691
138,1,C,2,4,14,4,10:59,2,1,2,4,2,5,6.0,0,0,0,0,1,0,0,0,0,0,0,ATL,ATL,PHI,22,6,6,6,0,659,659
139,0,I,1,10,23,4,10:28,1,2,2,4,2,5,6.0,0,0,0,0,0,1,0,0,0,0,0,ATL,ATL,PHI,22,6,6,6,0,628,628
140,0,I,2,10,23,4,10:21,1,1,3,4,2,5,6.0,0,0,0,0,0,1,0,0,0,0,0,ATL,ATL,PHI,22,6,6,6,0,621,621
141,1,C,3,10,23,4,10:16,1,2,2,4,2,5,6.0,0,0,0,0,0,0,0,0,0,1,0,ATL,ATL,PHI,22,6,6,6,0,616,616
142,1,C,3,8,22,4,07:49,1,1,3,1,5,5,7.0,0,0,0,0,1,0,0,0,0,0,0,PHI,ATL,PHI,22,6,22,6,16,469,469
143,1,C,1,10,18,4,07:03,1,2,2,4,2,5,6.0,0,0,0,0,1,0,0,0,0,0,0,ATL,ATL,PHI,22,6,6,6,0,423,423
144,1,C,2,4,24,4,06:57,1,2,2,4,2,5,6.0,0,0,0,0,0,0,1,0,0,0,0,ATL,ATL,PHI,22,6,6,6,0,417,417
146,1,C,1,10,44,4,04:13,1,2,2,4,2,5,5.0,0,0,0,0,0,0,1,0,0,0,0,ATL,ATL,PHI,29,6,6,6,0,253,253
148,0,I,3,13,41,4,03:24,1,2,2,4,2,5,4.0,0,0,0,0,0,0,0,0,0,1,0,ATL,ATL,PHI,29,6,6,6,0,204,204
150,1,C,3,17,25,4,06:13,1,1,3,4,2,5,4.0,0,0,0,0,0,0,0,0,0,1,0,ATL,ATL,PHI,22,6,6,6,0,373,373
151,1,C,1,10,24,1,14:47,0,0,5,2,4,5,6.0,0,0,0,0,0,0,0,0,0,1,0,BUF,BUF,PIT,0,0,0,0,0,887,1787
152,0,I,3,5,19,1,13:40,0,0,5,2,4,5,4.0,0,0,0,1,0,0,0,0,0,0,0,BUF,BUF,PIT,0,0,0,0,0,820,1720
153,0,I,3,4,47,1,10:47,1,1,3,4,2,5,6.0,0,0,0,1,0,0,0,0,0,0,0,PIT,BUF,PIT,0,3,0,3,-3,647,1547
154,1,C,2,14,18,1,08:24,1,1,3,2,4,5,6.0,0,0,0,0,1,0,0,0,0,0,0,BUF,BUF,PIT,0,3,3,3,0,504,1404
155,1,C,3,9,23,1,07:47,1,1,3,2,3,6,5.0,0,0,0,0,0,1,0,0,0,0,0,BUF,BUF,PIT,0,3,3,3,0,467,1367
156,0,I,1,10,33,1,07:04,1,1,3,2,4,5,5.0,0,0,0,0,1,0,0,0,0,0,0,BUF,BUF,PIT,0,3,3,3,0,424,1324
157,1,C,2,10,33,1,07:00,1,1,3,2,4,5,5.0,0,0,0,1,0,0,0,0,0,0,0,BUF,BUF,PIT,0,3,3,3,0,420,1320
158,0,I,2,14,45,1,05:28,1,1,3,2,4,5,6.0,0,0,0,0,0,0,1,0,0,0,0,BUF,BUF,PIT,0,3,3,3,0,328,1228
159,1,C,1,10,20,1,05:05,1,1,3,4,2,5,6.0,0,0,0,0,0,0,1,0,0,0,0,PIT,BUF,PIT,0,3,0,3,-3,305,1205
160,0,I,1,10,37,1,03:50,1,0,4,2,4,5,6.0,0,0,0,0,1,0,0,0,0,0,0,BUF,BUF,PIT,0,3,3,3,0,230,1130
161,1,C,1,10,13,1,02:41,1,2,2,4,2,5,7.0,0,0,0,0,0,1,0,0,0,0,0,PIT,BUF,PIT,0,3,0,3,-3,161,1061
162,1,C,3,2,21,1,01:16,1,1,3,4,2,5,6.0,0,0,0,0,0,0,1,0,0,0,0,PIT,BUF,PIT,0,3,0,3,-3,76,976
163,0,I,3,5,38,2,14:15,1,1,3,4,2,5,5.0,0,0,0,1,0,0,0,0,0,0,0,PIT,BUF,PIT,0,3,0,3,-3,855,855
164,1,C,2,9,24,2,13:32,1,1,3,2,4,5,5.0,0,0,0,0,0,0,1,0,0,0,0,BUF,BUF,PIT,0,3,3,3,0,812,812
165,1,C,1,10,37,2,13:08,1,1,3,2,4,5,6.0,0,0,0,0,1,0,0,0,0,0,0,BUF,BUF,PIT,0,3,3,3,0,788,788
166,1,C,1,10,50,2,11:57,1,1,3,2,4,5,5.0,0,0,0,1,0,0,0,0,0,0,0,BUF,BUF,PIT,0,3,3,3,0,717,717
167,0,I,2,3,43,2,11:17,1,1,3,2,4,5,6.0,0,0,0,0,1,0,0,0,0,0,0,BUF,BUF,PIT,0,3,3,3,0,677,677
168,0,I,1,10,7,2,10:58,1,1,3,4,2,5,6.0,0,0,0,0,0,0,0,0,0,1,0,PIT,BUF,PIT,0,3,0,3,-3,658,658
169,0,I,3,12,5,2,09:45,1,1,3,4,2,5,5.0,0,0,0,0,1,0,0,0,0,0,0,PIT,BUF,PIT,0,3,0,3,-3,585,585
170,0,I,2,13,38,2,08:52,0,0,5,2,3,6,5.0,0,0,0,0,1,0,0,0,0,0,0,BUF,BUF,PIT,0,3,3,3,0,532,532
172,1,C,1,10,45,2,08:38,1,1,3,4,2,5,6.0,0,0,0,0,0,0,1,0,0,0,0,PIT,BUF,PIT,0,3,0,3,-3,518,518
174,0,I,3,20,45,2,06:17,1,1,3,4,2,5,4.0,0,0,0,0,0,1,0,0,0,0,0,PIT,BUF,PIT,0,3,0,3,-3,377,377
175,1,C,2,9,10,2,05:24,1,1,3,2,4,5,5.0,0,0,0,0,0,0,1,0,0,0,0,BUF,BUF,PIT,0,3,3,3,0,324,324
176,1,C,1,20,12,2,04:42,1,1,3,2,4,5,6.0,0,0,0,0,0,1,0,0,0,0,0,BUF,BUF,PIT,0,3,3,3,0,282,282
177,1,C,2,10,22,2,04:06,1,1,3,2,4,5,6.0,0,0,0,0,1,0,0,0,0,0,0,BUF,BUF,PIT,0,3,3,3,0,246,246
