,prePenaltyPlayResult,playResult,foulName1,Binary Completion,down,yardsToGo,pff_passCoverageType,offenseFormation,offenseFormation,yardlineNumber,quarter,gameClock,num RB,num TE,num WR,num DL,num LB,num DB,defendersInBox,2-Man,Bracket,Cover-0,Cover-1,Cover-2,Cover-3,Cover-6,Goal Line,Prevent,Quarters,Red Zone,possessionTeam,offenseFormation,pff_passCoverageType,absoluteYardlineNumber,homeTeamAbbr,visitorTeamAbbr,preSnapVisitorScore,preSnapHomeScore,off_score,def_score,score_diff,gameClock_seconds,secondsLeftInHalf
26,0,0,,0,2,8,Zone,SHOTGUN,SHOTGUN,25,2,05:43,1,1,3,2,4,5,7.0,0,0,0,0,0,1,0,0,0,0,0,DAL,SHOTGUN,Zone,85.0,TB,DAL,7,14,7,14,-7,343,343
27,13,13,,1,3,8,Man,SHOTGUN,SHOTGUN,25,2,05:37,1,1,3,2,4,5,6.0,0,0,1,0,0,0,0,0,0,0,0,DAL,SHOTGUN,Man,85.0,TB,DAL,7,14,7,14,-7,337,337
28,5,5,,1,2,3,Man,SHOTGUN,SHOTGUN,5,2,04:25,1,1,3,2,4,5,7.0,0,0,1,0,0,0,0,0,0,0,0,DAL,SHOTGUN,Man,105.0,TB,DAL,7,14,7,14,-7,265,265
29,0,0,,0,2,6,Zone,SHOTGUN,SHOTGUN,17,2,03:30,1,1,3,3,3,5,6.0,0,0,0,0,0,1,0,0,0,0,0,DAL,SHOTGUN,Zone,93.0,TB,DAL,13,14,13,14,-1,210,210
30,0,0,,0,3,6,Zone,EMPTY,EMPTY,17,2,03:26,1,1,3,3,3,5,5.0,0,0,0,0,0,0,0,0,0,1,0,DAL,EMPTY,Zone,93.0,TB,DAL,13,14,13,14,-1,206,206
31,10,10,,1,1,10,Zone,EMPTY,EMPTY,43,2,03:08,1,1,3,4,2,5,4.0,0,0,0,0,1,0,0,0,0,0,0,TB,EMPTY,Zone,67.0,TB,DAL,16,14,14,14,0,188,188
32,47,47,,1,1,10,Man,SHOTGUN,SHOTGUN,47,2,02:45,1,1,3,4,2,5,6.0,1,0,0,0,0,0,0,0,0,0,0,TB,SHOTGUN,Man,57.0,TB,DAL,16,14,14,14,0,165,165
33,11,11,,1,1,10,Zone,SHOTGUN,SHOTGUN,25,2,02:38,1,1,3,3,3,5,6.0,0,0,0,0,0,0,0,0,0,1,0,DAL,SHOTGUN,Zone,35.0,TB,DAL,16,21,16,21,-5,158,158
34,7,7,,1,1,10,Zone,SHOTGUN,SHOTGUN,38,2,01:54,1,1,3,3,3,5,6.0,0,0,0,0,0,0,0,0,0,1,0,DAL,SHOTGUN,Zone,72.0,TB,DAL,16,21,16,21,-5,114,114
35,0,0,,0,2,3,Zone,SHOTGUN,SHOTGUN,31,2,01:50,1,1,3,3,3,5,6.0,0,0,0,0,0,0,0,0,0,1,0,DAL,SHOTGUN,Zone,79.0,TB,DAL,16,21,16,21,-5,110,110
36,10,10,,1,3,3,Zone,SHOTGUN,SHOTGUN,31,2,01:43,1,1,3,3,3,5,7.0,0,0,0,0,0,0,0,0,0,1,0,DAL,SHOTGUN,Zone,79.0,TB,DAL,16,21,16,21,-5,103,103
37,0,0,,0,1,10,Zone,SHOTGUN,SHOTGUN,21,2,01:16,1,1,3,2,4,5,6.0,0,0,0,0,0,0,0,0,0,1,0,DAL,SHOTGUN,Zone,89.0,TB,DAL,16,21,16,21,-5,76,76
40,0,0,,0,1,10,Man,SHOTGUN,SHOTGUN,50,2,00:15,1,1,3,4,2,5,6.0,1,0,0,0,0,0,0,0,0,0,0,TB,SHOTGUN,Man,60.0,TB,DAL,16,21,21,21,0,15,15
41,0,0,,0,2,10,Other,SHOTGUN,SHOTGUN,50,2,00:09,1,0,4,2,2,7,4.0,0,0,0,0,0,0,0,0,1,0,0,TB,SHOTGUN,Other,60.0,TB,DAL,16,21,21,21,0,9,9
42,0,0,,0,3,10,Other,SHOTGUN,SHOTGUN,50,2,00:06,1,1,3,2,2,7,4.0,0,0,0,0,0,0,0,0,1,0,0,TB,SHOTGUN,Other,60.0,TB,DAL,16,21,21,21,0,6,6
43,5,5,,1,2,10,Zone,SHOTGUN,SHOTGUN,25,3,14:57,1,1,3,3,3,5,6.0,0,0,0,0,1,0,0,0,0,0,0,DAL,SHOTGUN,Zone,35.0,TB,DAL,16,21,16,21,-5,897,1797
44,16,16,,1,3,5,Zone,SHOTGUN,SHOTGUN,30,3,14:27,1,1,3,3,4,4,7.0,0,0,0,0,0,1,0,0,0,0,0,DAL,SHOTGUN,Zone,40.0,TB,DAL,16,21,16,21,-5,867,1767
45,14,14,,1,3,4,Other,SHOTGUN,SHOTGUN,48,3,12:44,1,1,3,3,3,5,6.0,0,1,0,0,0,0,0,0,0,0,0,DAL,SHOTGUN,Other,62.0,TB,DAL,16,21,16,21,-5,764,1664
46,0,0,,0,1,10,Zone,SHOTGUN,SHOTGUN,34,3,12:14,1,1,3,3,3,5,7.0,0,0,0,0,1,0,0,0,0,0,0,DAL,SHOTGUN,Zone,76.0,TB,DAL,16,21,16,21,-5,734,1634
47,4,4,,1,2,4,Zone,SHOTGUN,SHOTGUN,12,3,11:26,1,1,3,3,3,5,7.0,0,0,0,0,0,1,0,0,0,0,0,DAL,SHOTGUN,Zone,98.0,TB,DAL,16,21,16,21,-5,686,1586
48,3,3,,1,2,5,Other,SINGLEBACK,SINGLEBACK,5,3,10:32,1,2,2,4,3,4,8.0,0,0,0,0,0,0,0,0,0,0,1,DAL,SINGLEBACK,Other,105.0,TB,DAL,16,21,16,21,-5,632,1532
49,0,0,,0,1,10,Man,EMPTY,EMPTY,33,3,09:08,1,1,3,4,2,5,4.0,0,0,0,1,0,0,0,0,0,0,0,TB,EMPTY,Man,77.0,TB,DAL,19,21,21,21,0,548,1448
50,0,0,,0,2,10,Zone,EMPTY,EMPTY,33,3,09:04,1,1,3,4,2,5,6.0,0,0,0,0,0,1,0,0,0,0,0,TB,EMPTY,Zone,77.0,TB,DAL,19,21,21,21,0,544,1444
51,20,20,,1,1,10,Man,SHOTGUN,SHOTGUN,35,3,08:31,1,2,2,4,2,5,5.0,0,0,0,1,0,0,0,0,0,0,0,TB,SHOTGUN,Man,45.0,TB,DAL,19,21,21,21,0,511,1411
52,2,2,,1,2,8,Zone,SHOTGUN,SHOTGUN,13,3,07:12,1,2,2,4,2,5,7.0,0,0,0,0,0,0,0,0,0,1,0,TB,SHOTGUN,Zone,23.0,TB,DAL,19,21,21,21,0,432,1332
53,11,11,,1,3,6,Man,EMPTY,EMPTY,11,3,06:28,1,1,3,4,2,5,6.0,0,0,1,0,0,0,0,0,0,0,0,TB,EMPTY,Man,21.0,TB,DAL,19,21,21,21,0,388,1288
54,7,7,,1,1,10,Zone,EMPTY,EMPTY,38,3,05:59,1,2,2,3,4,4,6.0,0,0,0,0,0,0,1,0,0,0,0,DAL,EMPTY,Zone,48.0,TB,DAL,19,28,19,28,-9,359,1259
55,10,10,,1,1,10,Zone,EMPTY,EMPTY,48,3,04:49,1,2,2,4,3,4,6.0,0,0,0,0,0,1,0,0,0,0,0,DAL,EMPTY,Zone,58.0,TB,DAL,19,28,19,28,-9,289,1189
56,9,9,,1,2,10,Zone,SHOTGUN,SHOTGUN,42,3,03:26,1,1,3,2,4,5,6.0,0,0,0,0,0,0,1,0,0,0,0,DAL,SHOTGUN,Zone,68.0,TB,DAL,19,28,19,28,-9,206,1106
57,6,6,,1,3,1,Man,SINGLEBACK,SINGLEBACK,33,3,02:43,1,2,2,4,3,4,8.0,0,0,0,1,0,0,0,0,0,0,0,DAL,SINGLEBACK,Man,77.0,TB,DAL,19,28,19,28,-9,163,1063
59,21,21,,1,3,4,Man,SHOTGUN,SHOTGUN,21,3,00:39,1,1,3,3,3,5,7.0,0,0,0,1,0,0,0,0,0,0,0,DAL,SHOTGUN,Man,89.0,TB,DAL,19,28,19,28,-9,39,939
60,10,10,,1,1,10,Zone,SHOTGUN,SHOTGUN,25,3,00:33,1,1,3,4,2,5,6.0,0,0,0,0,0,1,0,0,0,0,0,TB,SHOTGUN,Zone,85.0,TB,DAL,26,28,28,28,0,33,933
61,5,5,,1,3,2,Zone,EMPTY,EMPTY,48,4,13:38,1,1,3,4,2,5,7.0,0,0,0,0,0,0,0,0,0,1,0,TB,EMPTY,Zone,58.0,TB,DAL,26,28,28,28,0,818,818
62,0,0,,0,2,10,Zone,SHOTGUN,SHOTGUN,47,4,12:11,1,1,3,4,2,5,5.0,0,0,0,0,1,0,0,0,0,0,0,TB,SHOTGUN,Zone,63.0,TB,DAL,26,28,28,28,0,731,731
63,0,0,,0,3,10,Zone,SHOTGUN,SHOTGUN,47,4,12:06,1,1,3,4,2,5,7.0,0,0,0,0,0,1,0,0,0,0,0,TB,SHOTGUN,Zone,63.0,TB,DAL,26,28,28,28,0,726,726
64,0,0,,0,2,8,Man,EMPTY,EMPTY,8,4,11:15,1,2,2,4,3,4,6.0,0,0,0,1,0,0,0,0,0,0,0,DAL,EMPTY,Man,102.0,TB,DAL,26,28,26,28,-2,675,675
65,0,0,,0,3,8,Zone,SHOTGUN,SHOTGUN,8,4,11:10,2,0,3,3,3,5,6.0,0,0,0,0,0,0,0,0,0,1,0,DAL,SHOTGUN,Zone,102.0,TB,DAL,26,28,26,28,-2,670,670
66,7,7,,1,1,10,Zone,SINGLEBACK,SINGLEBACK,37,4,10:54,1,1,3,4,2,5,6.0,0,0,0,0,1,0,0,0,0,0,0,TB,SINGLEBACK,Zone,47.0,TB,DAL,26,28,28,28,0,654,654
67,7,7,,1,2,4,Man,SHOTGUN,SHOTGUN,41,4,08:56,1,2,2,4,2,5,7.0,0,0,0,1,0,0,0,0,0,0,0,TB,SHOTGUN,Man,69.0,TB,DAL,26,28,28,28,0,536,536
68,9,9,,1,1,15,Zone,SHOTGUN,SHOTGUN,39,4,08:10,1,0,4,4,2,5,5.0,0,0,0,0,1,0,0,0,0,0,0,TB,SHOTGUN,Zone,71.0,TB,DAL,26,28,28,28,0,490,490
69,7,7,,1,2,6,Zone,SINGLEBACK,SINGLEBACK,30,4,07:23,1,2,2,4,2,5,6.0,0,0,0,0,1,0,0,0,0,0,0,TB,SINGLEBACK,Zone,80.0,TB,DAL,26,28,28,28,0,443,443
70,3,3,,1,1,10,Man,SINGLEBACK,SINGLEBACK,23,4,06:55,1,1,3,4,2,5,6.0,0,0,0,1,0,0,0,0,0,0,0,TB,SINGLEBACK,Man,87.0,TB,DAL,26,28,28,28,0,415,415
71,3,3,,1,2,9,Zone,SHOTGUN,SHOTGUN,11,4,04:14,1,1,3,3,3,5,7.0,0,0,0,0,1,0,0,0,0,0,0,DAL,SHOTGUN,Zone,99.0,TB,DAL,26,28,26,28,-2,254,254
72,6,6,,1,3,1,Zone,SHOTGUN,SHOTGUN,19,4,03:36,1,1,3,3,3,5,6.0,0,0,0,0,0,1,0,0,0,0,0,DAL,SHOTGUN,Zone,91.0,TB,DAL,26,28,26,28,-2,216,216
73,0,0,,0,1,10,Zone,SHOTGUN,SHOTGUN,36,4,02:27,1,1,3,3,3,5,7.0,0,0,0,0,1,0,0,0,0,0,0,DAL,SHOTGUN,Zone,74.0,TB,DAL,26,28,26,28,-2,147,147
74,9,9,,1,2,20,Zone,SHOTGUN,SHOTGUN,26,4,02:17,1,1,3,3,3,5,6.0,0,0,0,0,0,0,0,0,0,1,0,DAL,SHOTGUN,Zone,84.0,TB,DAL,26,28,26,28,-2,137,137
75,31,31,,1,3,11,Other,SHOTGUN,SHOTGUN,35,4,02:00,1,1,3,3,3,5,5.0,0,1,0,0,0,0,0,0,0,0,0,DAL,SHOTGUN,Other,75.0,TB,DAL,26,28,26,28,-2,120,120
76,10,10,,1,3,16,Zone,SHOTGUN,SHOTGUN,40,4,01:37,1,1,3,3,3,5,6.0,0,0,0,0,0,0,0,0,0,1,0,DAL,SHOTGUN,Zone,50.0,TB,DAL,26,28,26,28,-2,97,97
77,0,0,,0,2,2,Man,SHOTGUN,SHOTGUN,33,4,01:18,1,1,3,4,2,5,6.0,0,0,0,1,0,0,0,0,0,0,0,TB,SHOTGUN,Man,43.0,TB,DAL,29,28,28,28,0,78,78
78,4,4,,1,3,2,Zone,SHOTGUN,SHOTGUN,33,4,01:13,1,1,3,4,2,5,5.0,0,0,0,0,0,1,0,0,0,0,0,TB,SHOTGUN,Zone,43.0,TB,DAL,29,28,28,28,0,73,73
79,6,6,,1,1,15,Zone,SHOTGUN,SHOTGUN,32,4,00:55,1,1,3,4,2,5,5.0,0,0,0,0,1,0,0,0,0,0,0,TB,SHOTGUN,Zone,42.0,TB,DAL,29,28,28,28,0,55,55
80,20,20,,1,2,9,Zone,SHOTGUN,SHOTGUN,38,4,00:49,1,1,3,4,2,5,7.0,0,0,0,0,0,1,0,0,0,0,0,TB,SHOTGUN,Zone,48.0,TB,DAL,29,28,28,28,0,49,49
81,0,0,,0,1,10,Man,SHOTGUN,SHOTGUN,42,4,00:30,1,1,3,4,2,5,6.0,0,0,0,1,0,0,0,0,0,0,0,TB,SHOTGUN,Man,68.0,TB,DAL,29,28,28,28,0,30,30
82,24,24,,1,2,10,Man,SHOTGUN,SHOTGUN,42,4,00:24,1,1,3,4,2,5,5.0,0,0,0,1,0,0,0,0,0,0,0,TB,SHOTGUN,Man,68.0,TB,DAL,29,28,28,28,0,24,24
83,0,0,,0,1,10,Man,SHOTGUN,SHOTGUN,18,4,00:18,1,0,4,4,2,5,6.0,1,0,0,0,0,0,0,0,0,0,0,TB,SHOTGUN,Man,92.0,TB,DAL,29,28,28,28,0,18,18
84,0,0,,0,2,10,Man,EMPTY,EMPTY,18,4,00:14,1,1,3,4,2,5,5.0,1,0,0,0,0,0,0,0,0,0,0,TB,EMPTY,Man,92.0,TB,DAL,29,28,28,28,0,14,14
85,0,0,,0,3,10,Man,EMPTY,EMPTY,18,4,00:10,1,1,3,4,2,5,7.0,0,0,1,0,0,0,0,0,0,0,0,TB,EMPTY,Man,92.0,TB,DAL,29,28,28,28,0,10,10
86,16,16,,1,1,10,Zone,I_FORM,I_FORM,25,1,15:00,2,2,1,4,3,4,7.0,0,0,0,0,1,0,0,0,0,0,0,ATL,I_FORM,Zone,35.0,ATL,PHI,0,0,0,0,0,900,1800
87,1,1,,1,2,6,Zone,SINGLEBACK,SINGLEBACK,43,1,13:45,2,2,1,4,2,5,6.0,0,0,0,0,1,0,0,0,0,0,0,ATL,SINGLEBACK,Zone,67.0,ATL,PHI,0,0,0,0,0,825,1725
88,11,11,,1,3,5,Zone,EMPTY,EMPTY,42,1,13:08,2,2,1,4,2,5,6.0,0,0,0,0,0,1,0,0,0,0,0,ATL,EMPTY,Zone,68.0,ATL,PHI,0,0,0,0,0,788,1688
89,0,0,,0,1,10,Zone,SINGLEBACK,SINGLEBACK,31,1,12:50,2,2,1,4,2,5,7.0,0,0,0,0,0,1,0,0,0,0,0,ATL,SINGLEBACK,Zone,79.0,ATL,PHI,0,0,0,0,0,770,1670
90,12,12,,1,3,7,Zone,SHOTGUN,SHOTGUN,28,1,12:08,1,1,3,4,2,5,6.0,0,0,0,0,0,1,0,0,0,0,0,ATL,SHOTGUN,Zone,82.0,ATL,PHI,0,0,0,0,0,728,1628
91,7,7,,1,2,7,Zone,SINGLEBACK,SINGLEBACK,13,1,11:03,1,1,3,4,2,5,6.0,0,0,0,0,0,1,0,0,0,0,0,ATL,SINGLEBACK,Zone,97.0,ATL,PHI,0,0,0,0,0,663,1563
92,0,0,,0,2,3,Other,SINGLEBACK,SINGLEBACK,3,1,10:11,1,1,3,4,3,4,7.0,0,0,0,0,0,0,0,0,0,0,1,ATL,SINGLEBACK,Other,107.0,ATL,PHI,0,0,0,0,0,611,1511
93,0,0,,0,3,3,Other,SHOTGUN,SHOTGUN,3,1,10:07,1,1,3,4,3,4,6.0,0,0,0,0,0,0,0,0,0,0,1,ATL,SHOTGUN,Other,107.0,ATL,PHI,0,0,0,0,0,607,1507
94,18,18,,1,3,4,Man,EMPTY,EMPTY,18,1,06:23,1,1,3,1,5,5,5.0,0,0,0,1,0,0,0,0,0,0,0,PHI,EMPTY,Man,28.0,ATL,PHI,0,3,0,3,-3,383,1283
95,3,3,,1,1,10,Zone,I_FORM,I_FORM,32,1,05:51,2,1,2,4,3,4,7.0,0,0,0,0,0,0,1,0,0,0,0,ATL,I_FORM,Zone,42.0,ATL,PHI,7,3,3,3,0,351,1251
96,7,7,,1,1,10,Zone,SINGLEBACK,SINGLEBACK,46,1,04:38,1,2,2,4,3,4,6.0,0,0,0,0,1,0,0,0,0,0,0,ATL,SINGLEBACK,Zone,56.0,ATL,PHI,7,3,3,3,0,278,1178
97,0,0,,0,2,9,Zone,SHOTGUN,SHOTGUN,32,1,02:56,1,2,2,4,2,5,6.0,0,0,0,0,0,0,0,0,0,1,0,ATL,SHOTGUN,Zone,78.0,ATL,PHI,7,3,3,3,0,176,1076
99,1,1,,1,4,1,Zone,SINGLEBACK,SINGLEBACK,24,1,02:30,1,3,1,4,3,4,8.0,0,0,0,0,0,1,0,0,0,0,0,ATL,SINGLEBACK,Zone,86.0,ATL,PHI,7,3,3,3,0,150,1050
100,0,-5,,0,1,2,Other,JUMBO,JUMBO,2,1,00:15,2,3,0,4,3,4,8.0,0,0,0,0,0,0,0,0,0,0,1,ATL,JUMBO,Other,108.0,ATL,PHI,7,3,3,3,0,15,915
101,0,0,,0,1,12,Zone,SHOTGUN,SHOTGUN,12,1,00:09,1,1,3,4,2,5,6.0,0,0,0,0,0,1,0,0,0,0,0,ATL,SHOTGUN,Zone,98.0,ATL,PHI,7,3,3,3,0,9,909
102,0,0,,0,3,9,Other,SHOTGUN,SHOTGUN,9,2,15:00,1,1,3,4,2,5,5.0,0,0,0,0,0,0,0,0,0,0,1,ATL,SHOTGUN,Other,19.0,ATL,PHI,7,3,3,3,0,900,900
103,13,13,,1,1,10,Zone,SHOTGUN,SHOTGUN,17,2,14:43,1,2,2,2,4,5,7.0,0,0,0,0,0,1,0,0,0,0,0,PHI,SHOTGUN,Zone,27.0,ATL,PHI,7,6,7,6,1,883,883
104,28,28,,1,1,10,Zone,SHOTGUN,SHOTGUN,30,2,14:11,1,2,2,2,4,5,6.0,0,0,0,0,0,1,0,0,0,0,0,PHI,SHOTGUN,Zone,40.0,ATL,PHI,7,6,7,6,1,851,851
105,0,0,,0,1,10,Zone,SHOTGUN,SHOTGUN,42,2,13:45,1,2,2,2,4,5,6.0,0,0,0,0,1,0,0,0,0,0,0,PHI,SHOTGUN,Zone,68.0,ATL,PHI,7,6,7,6,1,825,825
106,0,0,,0,3,4,Man,SHOTGUN,SHOTGUN,36,2,12:59,1,1,3,1,5,5,6.0,0,0,0,1,0,0,0,0,0,0,0,PHI,SHOTGUN,Man,74.0,ATL,PHI,7,6,7,6,1,779,779
107,0,0,,0,4,4,Zone,SHOTGUN,SHOTGUN,36,2,12:55,1,3,1,3,4,4,6.0,0,0,0,0,1,0,0,0,0,0,0,PHI,SHOTGUN,Zone,74.0,ATL,PHI,7,6,7,6,1,775,775
108,9,9,,1,1,20,Zone,I_FORM,I_FORM,26,2,12:25,2,1,2,4,2,5,7.0,0,0,0,0,0,1,0,0,0,0,0,ATL,I_FORM,Zone,84.0,ATL,PHI,7,6,6,6,0,745,745
109,9,9,,1,3,21,Zone,SHOTGUN,SHOTGUN,37,2,09:44,1,2,2,4,2,5,4.0,0,0,0,0,1,0,0,0,0,0,0,ATL,SHOTGUN,Zone,73.0,ATL,PHI,7,6,6,6,0,584,584
110,8,8,,1,2,4,Zone,SHOTGUN,SHOTGUN,25,2,08:20,1,1,3,2,4,5,6.0,0,0,0,0,1,0,0,0,0,0,0,PHI,SHOTGUN,Zone,35.0,ATL,PHI,7,6,7,6,1,500,500
111,4,4,,1,1,10,Zone,EMPTY,EMPTY,33,2,07:39,1,3,1,3,4,4,4.0,0,0,0,0,1,0,0,0,0,0,0,PHI,EMPTY,Zone,43.0,ATL,PHI,7,6,7,6,1,459,459
112,19,19,,1,2,6,Zone,EMPTY,EMPTY,37,2,07:17,1,3,1,3,4,4,4.0,0,0,0,0,1,0,0,0,0,0,0,PHI,EMPTY,Zone,47.0,ATL,PHI,7,6,7,6,1,437,437
113,3,3,,1,1,10,Zone,EMPTY,EMPTY,44,2,06:44,1,3,1,3,4,4,4.0,0,0,0,0,0,1,0,0,0,0,0,PHI,EMPTY,Zone,66.0,ATL,PHI,7,6,7,6,1,404,404
114,-3,-3,,1,1,20,Zone,SHOTGUN,SHOTGUN,42,2,05:35,2,1,2,2,4,5,6.0,0,0,0,0,1,0,0,0,0,0,0,PHI,SHOTGUN,Zone,68.0,ATL,PHI,7,6,7,6,1,335,335
115,0,0,,0,2,28,Zone,SHOTGUN,SHOTGUN,50,2,04:38,1,1,3,1,5,5,6.0,0,0,0,0,0,1,0,0,0,0,0,PHI,SHOTGUN,Zone,60.0,ATL,PHI,7,6,7,6,1,278,278
